1,6,87,73,66,96,97,86
2,6,81,66,54,92,91,72
3,5,97,49,42,88,91,19
4,7,45,56,46,67,58,39
5,5,84,46,40,91,88,17
6,5,75,42,39,86,83,16
7,5,71,61,53,84,83,32
8,5,64,52,45,78,71,26
9,5,68,46,37,86,84,84
10,6,53,64,63,78,77,42
11,5,46,63,68,76,66,36
12,5,42,71,72,87,67,41
13,6,41,82,84,72,76,53
14,4,36,67,77,71,62,41
15,6,54,68,58,88,83,31
16,5,74,40,38,85,84,16
17,5,64,35,36,80,72,15
18,5,62,51,46,76,75,31
19,5,57,44,39,71,66,25
20,5,61,34,32,81,78,78
21,5,48,28,28,72,60,73
22,5,44,36,35,68,53,67
23,6,33,42,43,100,48,81
24,6,44,53,53,66,74,40
25,5,38,54,57,65,58,35
26,5,33,64,63,85,58,40
27,6,30,74,74,91,66,50
28,4,41,58,67,68,66,41
29,6,43,60,58,83,73,30
30,5,63,33,15,83,26,13
31,5,48,30,11,71,16,11
32,5,44,42,27,66,20,27
33,5,42,36,17,62,12,21
34,6,34,47,42,71,27,38
35,5,21,56,53,82,25,37
36,7,31,53,43,58,26,37
37,6,34,51,48,73,26,28
38,4,30,50,51,65,26,38
39,8,21,50,45,43,25,42
40,7,36,52,41,56,21,38
41,9,35,48,34,78,22,4
42,8,16,37,34,36,19,35
43,9,18,34,19,39,19,34
44,7,21,72,93,82,45,66
45,8,20,85,98,67,45,67
46,6,22,81,84,71,39,61
47,5,20,64,68,78,35,49
48,9,31,64,57,34,36,49
49,4,20,84,107,67,49,73
50,7,21,93,93,73,49,71
51,8,23,87,104,77,55,73
52,6,22,77,87,100,36,4
53,7,22,94,133,82,49,76
54,7,32,66,56,72,36,49
55,8,24,94,95,79,49,72
