1,1,1,1,1
2,1,1,2,1
3,1,1,3,2
4,2,1,3,1
5,3,1,1,1
6,3,1,3,1
7,4,1,4,1
8,5,1,4,1
9,6,1,5,2
10,7,1,4,2
11,8,1,5,2
12,9,1,3,1
13,9,1,4,1
14,10,1,4,2
15,11,1,4,2
16,12,1,4,2
17,13,1,3,1
18,14,1,4,2
19,15,1,4,1
20,16,1,5,2
21,17,1,5,1
22,18,1,4,1
23,19,1,5,1
24,20,1,4,2
25,21,1,4,1
26,22,1,4,1
27,23,1,3,1
28,24,1,4,1
29,25,1,4,1
30,26,1,4,1
31,27,1,4,2
32,28,1,4,1
33,28,2,4,1
34,29,1,5,2
35,30,1,5,2
36,31,1,5,1
37,32,1,5,2
38,33,1,5,1
39,34,1,5,2
40,35,1,4,1
41,36,1,5,2
42,37,1,5,2
43,38,1,4,1
44,38,2,4,1
45,39,1,4,1
46,40,1,4,1
47,41,1,4,2
48,42,1,5,1
49,43,1,5,1
50,44,1,4,2
51,45,1,3,1
52,46,1,4,2
53,47,1,4,2
54,48,1,4,2
55,49,1,3,1
56,49,2,3,1
57,50,1,3,1
58,50,2,3,1
59,51,1,3,1
60,52,1,3,1
61,53,1,3,1
62,54,2,4,2
63,55,2,3,1
